,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
vs Arsenal,29,26.6,46.0,38,418,3420,38.0,48,30,41,7,8,79,1,1.26,0.79,2.05,1.08,1.87,56.6,50.4,35.8,86.2,1.49,0.94,2.43,1.33,2.27
vs Aston Villa,28,26.6,56.1,38,418,3420,38.0,66,44,61,5,6,90,7,1.74,1.16,2.89,1.61,2.76,65.9,61.3,44.3,105.5,1.73,1.17,2.90,1.61,2.78
vs Bournemouth,27,26.8,56.2,38,418,3420,38.0,65,45,60,5,6,67,3,1.71,1.18,2.89,1.58,2.76,57.5,53.0,38.4,91.4,1.51,1.01,2.52,1.39,2.41
vs Brighton,25,26.5,47.8,38,418,3420,38.0,52,42,50,2,2,61,1,1.37,1.11,2.47,1.32,2.42,54.5,52.9,39.0,91.9,1.43,1.03,2.46,1.39,2.42
vs Burnley,22,26.5,58.6,38,418,3420,38.0,49,38,45,4,5,42,3,1.29,1.00,2.29,1.18,2.18,48.3,44.5,33.1,77.6,1.27,0.87,2.14,1.17,2.04
vs Chelsea,27,26.4,39.3,38,418,3420,38.0,51,36,49,2,2,76,3,1.34,0.95,2.29,1.29,2.24,37.9,36.4,26.0,62.4,1.00,0.68,1.68,0.96,1.64
vs Crystal Palace,25,26.5,55.5,38,418,3420,38.0,48,36,48,0,1,88,5,1.26,0.95,2.21,1.26,2.21,51.3,50.6,35.5,86.0,1.35,0.93,2.28,1.33,2.26
vs Everton,24,26.6,50.8,38,418,3420,38.0,53,39,50,3,4,61,2,1.39,1.03,2.42,1.32,2.34,48.4,45.4,32.0,77.4,1.27,0.84,2.11,1.19,2.04
vs Leicester City,24,26.6,42.4,38,418,3420,38.0,39,26,31,8,10,69,3,1.03,0.68,1.71,0.82,1.50,44.5,37.0,28.7,65.7,1.17,0.76,1.93,0.97,1.73
vs Liverpool,24,26.3,36.6,38,418,3420,38.0,32,23,31,1,1,47,0,0.84,0.61,1.45,0.82,1.42,40.0,39.3,29.1,68.3,1.05,0.76,1.82,1.03,1.80
vs Manchester City,24,26.5,33.1,38,418,3420,38.0,34,25,31,3,3,53,1,0.89,0.66,1.55,0.82,1.47,34.7,32.9,23.0,55.9,0.91,0.61,1.52,0.87,1.47
vs Manchester Utd,29,26.7,43.8,38,418,3420,38.0,35,24,32,3,3,79,2,0.92,0.63,1.55,0.84,1.47,37.4,35.2,24.7,59.9,0.98,0.65,1.64,0.93,1.58
vs Newcastle Utd,28,26.5,61.4,38,418,3420,38.0,56,38,54,2,2,57,2,1.47,1.00,2.47,1.42,2.42,58.3,56.8,39.8,96.7,1.53,1.05,2.58,1.49,2.54
vs Norwich City,30,26.5,50.7,38,418,3420,38.0,72,50,68,4,7,58,2,1.89,1.32,3.21,1.79,3.11,61.9,56.7,39.6,96.2,1.63,1.04,2.67,1.49,2.53
vs Sheffield Utd,26,26.7,56.9,38,418,3420,38.0,39,28,38,1,3,46,0,1.03,0.74,1.76,1.00,1.74,47.9,45.6,34.0,79.6,1.26,0.89,2.16,1.20,2.10
vs Southampton,25,26.5,50.7,38,418,3420,38.0,59,41,56,3,4,67,3,1.55,1.08,2.63,1.47,2.55,53.1,50.0,34.4,84.4,1.40,0.91,2.30,1.32,2.22
vs Tottenham,29,26.7,47.8,38,418,3420,38.0,45,27,40,5,7,83,1,1.18,0.71,1.89,1.05,1.76,52.0,46.9,33.8,80.8,1.37,0.89,2.26,1.24,2.13
vs Watford,26,26.5,57.5,38,418,3420,38.0,61,37,53,8,9,66,1,1.61,0.97,2.58,1.39,2.37,57.3,50.3,34.6,84.9,1.51,0.91,2.42,1.32,2.23
vs West Ham,29,26.6,56.0,38,418,3420,38.0,59,49,54,5,6,45,0,1.55,1.29,2.84,1.42,2.71,61.1,56.5,46.1,102.6,1.61,1.21,2.82,1.49,2.70
vs Wolves,21,26.5,51.7,38,418,3420,38.0,39,28,38,1,3,85,5,1.03,0.74,1.76,1.00,1.74,34.8,32.4,24.5,56.9,0.92,0.65,1.56,0.85,1.50
